time,latitude,longitude,depth,mag,place
2023-12-25T10:34:02.405Z,-23.745,-177.119,145.878,4.6,south of the Fiji Islands
2023-12-25T10:14:34.947Z,53.962,170.6519,10.0,4.6,"209 km NW of Attu Station, Alaska"
2023-12-25T09:56:14.559Z,30.0034,-41.9125,10.0,4.6,northern Mid-Atlantic Ridge
2023-12-25T08:52:28.628Z,-22.7125,170.6996,10.0,4.3,southeast of the Loyalty Islands
2023-12-25T08:46:53.471Z,-18.3911,-175.4257,234.85,4.2,"154 km W of Neiafu, Tonga"
2023-12-25T07:49:46.695Z,13.4928,-91.6562,28.984,4.2,"87 km SSW of Nueva Concepción, Guatemala"
2023-12-25T07:19:26.506Z,8.997,127.2369,10.0,4.5,"102 km E of Aras-asan, Philippines"
2023-12-25T06:50:58.120Z,-36.268,-100.0219,10.0,4.7,southeast of Easter Island
2023-12-25T06:30:49.199Z,0.3607,123.1898,230.316,4.6,"24 km SE of Gorontalo, Indonesia"
2023-12-25T06:11:04.104Z,-6.6537,155.2189,105.25,4.2,"47 km SW of Panguna, Papua New Guinea"
2023-12-25T05:44:10.703Z,-7.6599,128.4561,158.874,4.2,"186 km ENE of Lospalos, Timor Leste"
2023-12-25T04:49:01.655Z,33.149,137.7852,336.23,5.0,"158 km SSE of Shima, Japan"
2023-12-25T04:31:42.097Z,-6.3036,147.1071,35.0,4.2,"48 km NNE of Lae, Papua New Guinea"
2023-12-25T04:30:24.465Z,-6.4438,146.8754,59.485,4.0,"33 km NNW of Lae, Papua New Guinea"
2023-12-25T03:31:33.670Z,-23.3043,-179.7462,540.345,4.4,south of the Fiji Islands
2023-12-25T03:21:05.599Z,9.2851,126.6053,35.0,4.2,"45 km E of Cortes, Philippines"
2023-12-25T03:20:32.406Z,-5.8023,147.9182,120.353,4.5,"83 km N of Finschhafen, Papua New Guinea"
2023-12-25T03:18:06.397Z,-0.721,121.4377,10.0,4.3,"106 km NE of Poso, Indonesia"
2023-12-25T02:58:19.290Z,12.6222,-88.7376,42.542,4.4,"75 km SSW of Puerto El Triunfo, El Salvador"
2023-12-25T01:46:55.740Z,-32.4464,171.6712,10.0,4.3,northwest of New Zealand
2023-12-25T01:44:17.677Z,-6.1882,129.8242,140.172,4.3,Banda Sea
2023-12-25T00:10:29.813Z,8.7511,127.3901,10.0,4.4,"119 km E of Aras-asan, Philippines"
2023-12-24T23:50:55.107Z,-20.4753,168.527,10.0,4.4,"130 km SW of Isangel, Vanuatu"
2023-12-24T22:34:34.815Z,34.7457,26.3124,10.0,4.1,"50 km S of Palekastro, Greece"
2023-12-24T22:34:00.775Z,-55.8178,-25.267,10.0,5.0,South Sandwich Islands region
2023-12-24T22:04:38.645Z,54.6737,-156.8183,15.0,4.4,"202 km SE of Perryville, Alaska"
2023-12-24T20:31:54.297Z,5.0747,126.0217,109.751,4.9,"71 km ESE of Sarangani, Philippines"
2023-12-24T20:10:49.925Z,-60.0078,-28.2775,179.082,4.6,South Sandwich Islands region
2023-12-24T18:45:20.041Z,18.5319,145.525,216.208,4.2,"Pagan region, Northern Mariana Islands"
2023-12-24T18:42:43.920Z,52.85,160.8894,25.692,5.0,"153 km E of Petropavlovsk-Kamchatsky, Russia"
2023-12-24T18:38:26.798Z,15.0557,147.4546,10.0,4.4,"183 km E of Saipan, Northern Mariana Islands"
2023-12-24T18:20:44.619Z,-32.1001,179.6777,334.401,4.7,south of the Kermadec Islands
2023-12-24T18:02:09.943Z,-15.1276,67.0407,10.0,4.8,Mid-Indian Ridge
2023-12-24T17:59:52.325Z,-15.0938,66.8343,10.0,4.9,Mid-Indian Ridge
2023-12-24T17:49:44.806Z,-28.4051,75.1681,10.0,4.6,Mid-Indian Ridge
2023-12-24T17:34:03.763Z,-59.0321,-25.6305,38.347,4.8,South Sandwich Islands region
2023-12-24T17:32:47.475Z,-20.4247,168.757,10.0,5.0,"112 km SSW of Isangel, Vanuatu"
2023-12-24T17:02:48.375Z,-20.4871,168.776,10.0,4.5,"117 km SSW of Isangel, Vanuatu"
2023-12-24T16:06:59.964Z,34.3565,25.0968,44.552,4.1,"72 km S of Pýrgos, Greece"
2023-12-24T16:03:24.809Z,34.2458,25.0376,35.08,4.0,"84 km S of Pýrgos, Greece"
2023-12-24T15:14:04.220Z,47.819666666667,-122.96,52.39,4.04,"6 km W of Quilcene, Washington"
2023-12-24T14:52:56.063Z,-20.8222,-173.815,10.0,5.4,"124 km SSE of Pangai, Tonga"
2023-12-24T14:31:00.154Z,-38.112,-74.0015,13.581,4.1,"63 km WSW of Cañete, Chile"
